#,Type,Object Type,Size class (cm),Number of particles ,State,Observations
1,H,Bag,10 - 50,1,Fragmented,
2,H,Bag,10 - 50,1,Fragmented,
3,H,Bag,10 - 50,2,Fragmented,
4,H,Bag,10 - 50,1,Fragmented,
5,H,Bag,10 - 50,1,Fragmented,
6,H,Bag,10 - 50,1,Fragmented,
7,H,Bag,10 - 50,1,Fragmented,
8,H,Bag,10 - 50,2,Fragmented,
9,H,Bag,10 - 50,1,Fragmented,
10,H,Bag,10 - 50,1,Fragmented,
11,H,Bag,10 - 50,1,Fragmented,
12,H,Bag,10 - 50,1,Fragmented,
13,H,Bag,5 - 10,1,Fragmented,
14,H,Bag,5 - 10,1,Fragmented,
15,H,Bag,1.5 - 5,1,Fragmented,
16,H,Bag,1.5 - 5,1,Fragmented,
17,H,Bag,1.5 - 5,1,Fragmented,
18,H,Bag,0.5 - 1.5,3,Fragmented,
19,H,Bag,0.5 - 1.5,2,Fragmented,
20,H,Bag,0.5 - 1.5,1,Fragmented,
21,H,Bag,0.5 - 1.5,1,Fragmented,
22,H,Bag,0.5 - 1.5,1,Fragmented,
23,H,Ball,5 - 10,1,Entire,
24,H,Ball,5 - 10,1,Fragmented,
25,H,Ball,0.5 - 1.5,1,Entire,
26,H,Ball,0.5 - 1.5,1,Entire,
27,H,Ball,0.5 - 1.5,3,Entire,
28,H,Ball,0.5 - 1.5,1,Entire,
29,H,Ball,0.5 - 1.5,1,Entire,
30,H,Ball,0.5 - 1.5,1,Entire,
31,H,Ball,0.5 - 1.5,1,Entire,
32,H,Ball,0.5 - 1.5,1,Entire,
33,H,Ball,0.5 - 1.5,1,Entire,
34,H,Ball,0.5 - 1.5,1,Entire,
35,H,Ball,0.5 - 1.5,1,Fragmented,
36,H,Ball,0.5 - 1.5,1,Fragmented,
37,H,Ball,0.5 - 1.5,1,Fragmented,gun ball?
38,H,Bike pedal,5 - 10,1,Entire,
39,H,Bike pedal,5 - 10,1,Fragmented,
40,H,Bottle,10 - 50,1,Entire,
41,H,Bottle,10 - 50,1,Entire,
42,H,Bottle,10 - 50,1,Entire,
43,H,Bottle,10 - 50,1,Entire,
44,H,Bottle,10 - 50,2,Entire,
45,H,Bottle,10 - 50,1,Entire,
46,H,Bottle,10 - 50,3,Entire,
47,H,Bottle,10 - 50,2,Entire,
48,H,Bottle,10 - 50,1,Entire,
49,H,Bottle,10 - 50,1,Entire,
50,H,Bottle,10 - 50,2,Entire,
51,H,Bottle,10 - 50,1,Entire,
52,H,Bottle,10 - 50,1,Entire,
53,H,Bottle,10 - 50,2,Entire,
54,H,Bottle,10 - 50,1,Entire,
55,H,Bottle,10 - 50,1,Entire,
56,H,Bottle,10 - 50,1,Entire,
57,H,Bottle,10 - 50,1,Entire,
58,H,Bottle,10 - 50,1,Fragmented,
59,H,Bottle,10 - 50,1,Fragmented,
60,H,Bottle,10 - 50,1,Fragmented,
61,H,Bottle,10 - 50,5,Fragmented,
62,H,Bottle,10 - 50,4,Fragmented,
63,H,Bottle,10 - 50,2,Fragmented,
64,H,Bottle,10 - 50,8,Fragmented,
65,H,Bottle,10 - 50,2,Fragmented,
66,H,Bottle,10 - 50,2,Fragmented,
67,H,Bottle,10 - 50,1,Fragmented,
68,H,Bottle,10 - 50,3,Fragmented,
69,H,Bottle,10 - 50,1,Fragmented,
70,H,Bottle,10 - 50,3,Fragmented,
71,H,Bottle,10 - 50,5,Fragmented,
72,H,Bottle,10 - 50,4,Fragmented,
73,H,Bottle,10 - 50,1,Fragmented,
74,H,Bottle,10 - 50,1,Fragmented,
75,H,Bottle,10 - 50,1,Fragmented,
76,H,Bottle,10 - 50,3,Fragmented,
77,H,Bottle,10 - 50,3,Fragmented,
78,H,Bottle,10 - 50,1,Fragmented,
79,H,Bottle,10 - 50,1,Fragmented,
80,H,Bottle,10 - 50,1,Fragmented,
81,H,Bottle,10 - 50,5,Fragmented,
82,H,Bottle,10 - 50,2,Fragmented,
83,H,Bottle,10 - 50,4,Fragmented,
84,H,Bottle,10 - 50,3,Fragmented,
85,H,Bottle,10 - 50,1,Fragmented,
86,H,Bottle,10 - 50,3,Fragmented,
87,H,Bottle,10 - 50,2,Fragmented,
88,H,Bottle,10 - 50,2,Fragmented,
89,H,Bottle,10 - 50,1,Fragmented,
90,H,Bottle,10 - 50,2,Fragmented,
91,H,Bottle,10 - 50,2,Fragmented,
92,H,Bottle,10 - 50,1,Fragmented,
93,H,Bottle,5 - 10,1,Entire,
94,H,Bottle,5 - 10,1,Entire,
95,H,Bottle,5 - 10,1,Fragmented,
96,H,Bottle,5 - 10,6,Fragmented,
97,H,Bottle,5 - 10,1,Fragmented,
98,H,Bottle,5 - 10,2,Fragmented,
99,H,Bottle,5 - 10,6,Fragmented,
100,H,Bottle,5 - 10,2,Fragmented,
101,H,Bottle,5 - 10,1,Fragmented,
102,H,Bottle,5 - 10,3,Fragmented,
103,H,Bottle,5 - 10,4,Fragmented,
104,H,Bottle,5 - 10,2,Fragmented,
105,H,Bottle,5 - 10,1,Fragmented,
106,H,Bottle,5 - 10,2,Fragmented,
107,H,Bottle,5 - 10,3,Fragmented,
108,H,Bottle,5 - 10,3,Fragmented,
109,H,Bottle,5 - 10,2,Fragmented,
110,H,Bottle,5 - 10,1,Fragmented,
111,H,Bottle,5 - 10,1,Fragmented,
112,H,Bottle,5 - 10,2,Fragmented,
113,H,Bottle,5 - 10,4,Fragmented,
114,H,Bottle,5 - 10,3,Fragmented,
115,H,Bottle,5 - 10,3,Fragmented,
116,H,Bottle,5 - 10,2,Fragmented,
117,H,Bottle,5 - 10,2,Fragmented,
118,H,Bottle,5 - 10,3,Fragmented,
119,H,Bottle,5 - 10,2,Fragmented,
120,H,Bottle,5 - 10,1,Fragmented,
121,H,Bottle,5 - 10,2,Fragmented,
122,H,Bottle,5 - 10,2,Fragmented,
123,H,Bottle,5 - 10,1,Fragmented,
124,H,Bottle,5 - 10,3,Fragmented,
125,H,Bottle,5 - 10,2,Fragmented,
126,H,Bottle,5 - 10,1,Fragmented,
127,H,Bottle,5 - 10,1,Fragmented,
128,H,Bottle,5 - 10,1,Fragmented,
129,H,Bottle,5 - 10,1,Fragmented,
130,H,Bottle,5 - 10,3,Fragmented,
131,H,Bottle,1.5 - 5,1,Fragmented,
132,H,Bottle,1.5 - 5,1,Fragmented,
133,H,Bottle,1.5 - 5,1,Fragmented,
134,H,Bottle,1.5 - 5,1,Fragmented,
135,H,Bottle,1.5 - 5,1,Fragmented,
136,H,Bottle,1.5 - 5,1,Fragmented,
137,H,Bottle,1.5 - 5,1,Fragmented,
138,H,Bottle,1.5 - 5,1,Fragmented,
139,H,Bottle,1.5 - 5,1,Fragmented,
140,H,Bottle,1.5 - 5,1,Fragmented,
141,H,Bottle,1.5 - 5,1,Fragmented,
142,H,Bottle,0.5 - 1.5,1,Fragmented,
143,H,Bottle,0.5 - 1.5,1,Fragmented,
144,H,Bottle,0.5 - 1.5,1,Fragmented,
145,H,Bottle,0.5 - 1.5,1,Fragmented,
146,H,Bottle,0.5 - 1.5,1,Fragmented,
147,H,Bottle,0.5 - 1.5,1,Fragmented,
148,H,Bottle,0.5 - 1.5,1,Fragmented,
149,H,Bottle,0.5 - 1.5,1,Fragmented,
150,H,Bottle,0.5 - 1.5,3,Fragmented,
151,H,Bottle,0.5 - 1.5,1,Fragmented,
152,H,Bottle,0.5 - 1.5,1,Fragmented,
153,H,Bottle,0.5 - 1.5,1,Fragmented,
154,H,Bottle lid,5 - 10,1,Fragmented,Bottle lid ring
155,H,Bottle lid,5 - 10,1,Entire,
156,H,Bottle lid,5 - 10,2,Fragmented,
157,H,Bottle lid,5 - 10,1,Fragmented,
158,H,Bottle lid,5 - 10,1,Fragmented,
159,H,Bottle lid,1.5 - 5,1,Entire,
160,H,Bottle lid,1.5 - 5,1,Entire,
161,H,Bottle lid,1.5 - 5,2,Entire,
162,H,Bottle lid,1.5 - 5,1,Entire,
163,H,Bottle lid,1.5 - 5,2,Entire,
164,H,Bottle lid,1.5 - 5,1,Entire,
165,H,Bottle lid,1.5 - 5,1,Entire,
166,H,Bottle lid,1.5 - 5,2,Entire,
167,H,Bottle lid,1.5 - 5,4,Entire,
168,H,Bottle lid,1.5 - 5,1,Entire,
169,H,Bottle lid,1.5 - 5,2,Entire,
170,H,Bottle lid,1.5 - 5,1,Entire,
171,H,Bottle lid,1.5 - 5,1,Entire,
172,H,Bottle lid,1.5 - 5,1,Fragmented,
173,H,Bottle lid,1.5 - 5,2,Fragmented,
174,H,Bottle lid,1.5 - 5,1,Fragmented,
175,H,Bottle lid,1.5 - 5,7,Fragmented,
176,H,Bottle lid,1.5 - 5,1,Fragmented,
177,H,Bottle lid,1.5 - 5,1,Fragmented,
178,H,Bottle lid,1.5 - 5,1,Fragmented,
179,H,Bottle lid,1.5 - 5,1,Fragmented,
180,H,Bottle lid,1.5 - 5,5,Fragmented,
181,H,Bottle lid,1.5 - 5,1,Fragmented,
182,H,Bottle lid,1.5 - 5,3,Fragmented,
183,H,Bottle lid,1.5 - 5,1,Fragmented,
184,H,Bottle lid,1.5 - 5,1,Fragmented,
185,H,Bottle lid,1.5 - 5,1,Fragmented,
186,H,Bottle lid,1.5 - 5,3,Fragmented,
187,H,Bottle lid,1.5 - 5,2,Fragmented,
188,H,Bottle lid,1.5 - 5,1,Fragmented,
189,H,Bottle lid,1.5 - 5,1,Fragmented,
190,H,Bottle lid,0.5 - 1.5,1,Fragmented,
191,H,Bottle lid,0.5 - 1.5,2,Entire,
192,H,Bottle lid,0.5 - 1.5,1,Entire,
193,H,Bottle lid,0.5 - 1.5,1,Fragmented,
194,H,Bottle lid,0.5 - 1.5,3,Fragmented,
195,H,Bottle lid,0.5 - 1.5,2,Fragmented,
196,H,Bottle lid,0.5 - 1.5,2,Fragmented,
197,H,Bottle lid,0.5 - 1.5,2,Fragmented,
198,H,Bottle lid,0.5 - 1.5,2,Fragmented,
199,H,Bottle lid,0.5 - 1.5,1,Fragmented,
200,H,Bottle lid,0.5 - 1.5,2,Fragmented,
201,H,Bottle lid,0.5 - 1.5,2,Fragmented,
202,H,Bottle lid,0.5 - 1.5,1,Fragmented,
203,H,Bottle lid,0.5 - 1.5,2,Fragmented,
204,H,Bottle lid,0.5 - 1.5,2,Fragmented,
205,H,Bottle lid,0.5 - 1.5,3,Fragmented,
206,H,Bottle lid,0.5 - 1.5,1,Fragmented,
207,H,Bottle lid,0.5 - 1.5,1,Fragmented,
208,H,Bottle lid,0.5 - 1.5,2,Fragmented,
209,H,Bottle lid,0.5 - 1.5,2,Fragmented,
210,H,Bottle lid,0.5 - 1.5,1,Fragmented,
211,H,Bottle lid,0.5 - 1.5,1,Fragmented,
212,H,Bottle lid,0.5 - 1.5,1,Fragmented,
213,H,Bottle lid,0.5 - 1.5,3,Fragmented,
214,H,Bottle lid,0.5 - 1.5,1,Fragmented,
215,H,Bottle lid,0.5 - 1.5,2,Fragmented,
216,H,Bottle lid,0.5 - 1.5,3,Fragmented,
217,H,Bottle lid,0.5 - 1.5,1,Fragmented,
218,H,Bottle lid,0.5 - 1.5,3,Fragmented,
219,H,Bottle lid,0.5 - 1.5,4,Fragmented,
220,H,Bottle lid,0.5 - 1.5,5,Fragmented,
221,H,Brush,10 - 50,1,Entire,Brush
222,H,Brush,10 - 50,1,Fragmented,brush
223,H,Brush,5 - 10,1,Fragmented,Brush
224,H,Buoy,> 50,1,Fragmented,
225,H,Buoy,> 50,1,Entire,
226,H,Buoy,10 - 50,1,Entire,
227,H,Buoy,10 - 50,2,Entire,
228,H,Buoy,10 - 50,1,Entire,
229,H,Buoy,10 - 50,1,Entire,
230,H,Buoy,10 - 50,2,Entire,
231,H,Buoy,10 - 50,1,Entire,
232,H,Buoy,10 - 50,1,Entire,
233,H,Buoy,10 - 50,2,Entire,
234,H,Buoy,10 - 50,1,Entire,
235,H,Buoy,10 - 50,2,Fragmented,
236,H,Buoy,10 - 50,1,Fragmented,
237,H,Buoy,10 - 50,1,Fragmented,
238,H,Buoy,10 - 50,1,Fragmented,
239,H,Buoy,10 - 50,2,Fragmented,
240,H,Buoy,10 - 50,1,Fragmented,
241,H,Buoy,10 - 50,1,Fragmented,
242,H,Buoy,10 - 50,1,Fragmented,
243,H,Buoy,10 - 50,1,Fragmented,
244,H,Buoy,10 - 50,1,Fragmented,
245,H,Buoy,10 - 50,2,Fragmented,
246,H,Buoy,10 - 50,1,Fragmented,
247,H,Buoy,10 - 50,1,Fragmented,
